feature_id,feature_name,aliases,description
32,MEF2D,['MEF2D'],
33,CSF1R,"['BANDDOS', 'C-FMS', 'CD115', 'CSF-1R', 'CSF1R', 'CSFR', 'FIM2', 'FMS', 'GPSC', 'HDLS', 'HDLS1', 'M-CSF-R']",
34,MGMT,['MGMT'],
36,NRAS,"['ALPS4', 'CMNS', 'KRAS', 'N-ras', 'NCMS', 'NRAS', 'NRAS1', 'NS6']","Mutations in the RAS family of proteins have frequently been observed across cancer types. The amino acid positions G12, G13 and Q61 account for the overwhelming majority of these mutations. The isoforms, despite their raw similarity, also behave very differently when expressed in non-native tissue types, likely due to differences in the C-terminal hyper-variable regions. Mis-regulation of isoform expression has been shown to be a driving event in cancer, as well as missense mutations at the three hotspots previously mentioned. While highly recurrent in cancer, targeting these RAS mutants has also been very elusive, and has not yet become common practice in the clinic."
37,PIK3CA,"['CCM4', 'CLAPO', 'CLOVE', 'CWS5', 'HMH', 'MCAP', 'MCM', 'MCMTC', 'PI3K', 'PI3K-alpha', 'PIK3CA', 'p110-alpha']","PIK3CA is the most recurrently mutated gene in breast cancer, and has been found to important in a number of cancer types. An integral part of the PI3K pathway, PIK3CA has long been described as an oncogene, with two main hotspots for activating mutations, the 542/545 region of the helical domain, and the 1047 region of the kinase domain. PIK3CA, and its interaction with the AKT and mTOR pathways, is the subject of an immense amount of research and development, and PI3K inhibition has seen some limited success in recent clinical trials. While monotherapies seem to be limited in their potential, there is a recent interest in pursuing PI3K inhibition as part of a combination therapy regiment with inhibition partners including TKI's, MEK inhibitors, PARP inhibitors, and in breast cancer, aromatase inhibitors."
46,TSC1,"['LAM', 'TSC', 'TSC1']",
47,TSC2,"['LAM', 'PPP1R160', 'TSC2', 'TSC4']",
49,WT1,"['AWT1', 'GUD', 'NPHS4', 'WAGR', 'WIT-2', 'WT-1', 'WT1', 'WT33']","WT1 is a tumor suppressor gene associated with the development of Wilms' Tumor, from which it was named. Mutations in exon 7 and 9 of WT1 have been recurrently identified in acute myeloid leukemia and associated with poorer prognosis and chemotherapy resistance."
51,DDR2,"['DDR2', 'MIG20a', 'NTRKR3', 'TKT', 'TYRO10', 'WRCN']",
53,FLI1,"['BDPLT21', 'EWSR2', 'FLI-1', 'FLI1', 'SIC-1']",
