fullName,name,gene_id,summary,Protein_Domains
ALK receptor tyrosine kinase,ALK,1,"This gene encodes a receptor tyrosine kinase, which belongs to the insulin receptor superfamily. This protein comprises an extracellular domain, an hydrophobic stretch corresponding to a single pass transmembrane region, and an intracellular kinase domain. It plays an important role in the development of the brain and exerts its effects on specific neurons in the nervous system. This gene has been found to be rearranged, mutated, or amplified in a series of tumours including anaplastic large cell lymphomas, neuroblastoma, and non-small cell lung cancer. The chromosomal rearrangements are the most common genetic alterations in this gene, which result in creation of multiple fusion genes in tumourigenesis, including ALK (chromosome 2)/EML4 (chromosome 2), ALK/RANBP2 (chromosome 2), ALK/ATIC (chromosome 2), ALK/TFG (chromosome 3), ALK/NPM1 (chromosome 5), ALK/SQSTM1 (chromosome 5), ALK/KIF5B (chromosome 10), ALK/CLTC (chromosome 17), ALK/TPM4 (chromosome 19), and ALK/MSN (chromosome X).[provided by RefSeq, Jan 2011].","['Protein kinase domain', 'MAM domain', 'Serine-threonine/tyrosine-protein kinase, catalytic domain', 'Tyrosine-protein kinase, receptor class II, conserved site', 'Low-density lipoprotein (LDL) receptor class A repeat', 'Tyrosine-protein kinase, active site', 'Protein kinase-like domain superfamily', 'Concanavalin A-like lectin/glucanase domain superfamily', 'Protein kinase, ATP binding site', 'Tyrosine-protein kinase, catalytic domain', 'LDL receptor-like superfamily', 'Receptor Tyrosine Kinase']"
AKT serine/threonine kinase 1,AKT1,2,"This gene encodes one of the three members of the human AKT serine-threonine protein kinase family which are often referred to as protein kinase B alpha, beta, and gamma. These highly similar AKT proteins all have an N-terminal pleckstrin homology domain, a serine/threonine-specific kinase domain and a C-terminal regulatory domain. These proteins are phosphorylated by phosphoinositide 3-kinase (PI3K). AKT/PI3K forms a key component of many signalling pathways that involve the binding of membrane-bound ligands such as receptor tyrosine kinases, G-protein coupled receptors, and integrin-linked kinase. These AKT proteins therefore regulate a wide variety of cellular functions including cell proliferation, survival, metabolism, and angiogenesis in both normal and malignant cells. AKT proteins are recruited to the cell membrane by phosphatidylinositol 3,4,5-trisphosphate (PIP3) after phosphorylation of phosphatidylinositol 4,5-bisphosphate (PIP2) by PI3K. Subsequent phosphorylation of both threonine residue 308 and serine residue 473 is required for full activation of the AKT1 protein encoded by this gene. Phosphorylation of additional residues also occurs, for example, in response to insulin growth factor-1 and epidermal growth factor. Protein phosphatases act as negative regulators of AKT proteins by dephosphorylating AKT or PIP3. The PI3K/AKT signalling pathway is crucial for tumor cell survival. Survival factors can suppress apoptosis in a transcription-independent manner by activating AKT1 which then phosphorylates and inactivates components of the apoptotic machinery. AKT proteins also participate in the mammalian target of rapamycin (mTOR) signalling pathway which controls the assembly of the eukaryotic translation initiation factor 4F (eIF4E) complex and this pathway, in addition to responding to extracellular signals from growth factors and cytokines, is disregulated in many cancers. Mutations in this gene are associated with multiple types of cancer and excessive tissue growth including Proteus syndrome and Cowden syndrome 6, and breast, colorectal, and ovarian cancers. Multiple alternatively spliced transcript variants have been found for this gene. [provided by RefSeq, Jul 2020].","['Protein kinase domain', 'AGC-kinase, C-terminal', 'Pleckstrin homology domain', 'Serine/threonine-protein kinase, active site', 'Protein kinase-like domain superfamily', 'PH-like domain superfamily', 'Protein kinase, ATP binding site', 'Protein kinase, C-terminal', 'Protein kinase B alpha, catalytic domain', 'Protein Kinase B, pleckstrin homology domain']"
"A-Raf proto-oncogene, serine/threonine kinase",ARAF,3,"This proto-oncogene belongs to the RAF subfamily of the Ser/Thr protein kinase family, and maybe involved in cell growth and development. Alternatively spliced transcript variants encoding different isoforms have been found for this gene.[provided by RefSeq, Jan 2012]","['Protein kinase C-like, phorbol ester/diacylglycerol-binding domain', 'Raf-like Ras-binding', 'Diacylglycerol/phorbol-ester binding', 'Ubiquitin-like domain superfamily', 'C1-like domain superfamily', 'Protein kinase domain', 'Serine-threonine/tyrosine-protein kinase, catalytic domain', 'Serine/threonine-protein kinase, active site', 'Protein kinase-like domain superfamily', 'Protein kinase, ATP binding site', 'Serine/threonine-protein kinase']"
"ABL proto-oncogene 1, non-receptor tyrosine kinase",ABL1,4,"This gene is a protooncogene that encodes a protein tyrosine kinase involved in a variety of cellular processes, including cell division, adhesion, differentiation, and response to stress. The activity of the protein is negatively regulated by its SH3 domain, whereby deletion of the region encoding this domain results in an oncogene. The ubiquitously expressed protein has DNA-binding activity that is regulated by CDC2-mediated phosphorylation, suggesting a cell cycle function. This gene has been found fused to a variety of translocation partner genes in various leukemias, most notably the t(9;22) translocation that results in a fusion with the 5' end of the breakpoint cluster region gene (BCR; MIM:151410). Alternative splicing of this gene results in two transcript variants, which contain alternative first exons that are spliced to the remaining common exons. [provided by RefSeq, Aug 2014].","['Protein kinase domain', 'SH2 domain', 'Serine-threonine/tyrosine-protein kinase, catalytic domain', 'SH3 domain', 'Tyrosine-protein kinase, active site', 'Protein kinase-like domain superfamily', 'F-actin binding', 'Protein kinase, ATP binding site', 'Tyrosine-protein kinase, catalytic domain', 'Tyrosine-protein kinase ABL, SH2 domain', 'SH3-like domain superfamily', 'SH2 domain superfamily', 'Non-receptor tyrosine kinases involved in cell signaling']"
"B-Raf proto-oncogene, serine/threonine kinase",BRAF,5,"This gene encodes a protein belonging to the RAF family of serine/threonine protein kinases. This protein plays a role in regulating the MAP kinase/ERK signaling pathway, which affects cell division, differentiation, and secretion. Mutations in this gene, most commonly the V600E mutation, are the most frequently identified cancer-causing mutations in melanoma, and have been identified in various other cancers as well, including non-Hodgkin lymphoma, colorectal cancer, thyroid carcinoma, non-small cell lung carcinoma, hairy cell leukemia and adenocarcinoma of lung. Mutations in this gene are also associated with cardiofaciocutaneous, Noonan, and Costello syndromes, which exhibit overlapping phenotypes. A pseudogene of this gene has been identified on the X chromosome. [provided by RefSeq, Aug 2017].","['Protein kinase domain', 'Serine-threonine/tyrosine-protein kinase, catalytic domain', 'Protein kinase C-like, phorbol ester/diacylglycerol-binding domain', 'Raf-like Ras-binding', 'Serine/threonine-protein kinase, active site', 'Protein kinase-like domain superfamily', 'Protein kinase, ATP binding site', 'Diacylglycerol/phorbol-ester binding', 'Ubiquitin-like domain superfamily', 'C1-like domain superfamily', 'Serine/threonine-protein kinase']"
BRCA1 DNA repair associated,BRCA1,6,"This gene encodes a 190 kD nuclear phosphoprotein that plays a role in maintaining genomic stability, and it also acts as a tumor suppressor. The BRCA1 gene contains 22 exons spanning about 110 kb of DNA. The encoded protein combines with other tumor suppressors, DNA damage sensors, and signal transducers to form a large multi-subunit protein complex known as the BRCA1-associated genome surveillance complex (BASC). This gene product associates with RNA polymerase II, and through the C-terminal domain, also interacts with histone deacetylase complexes. This protein thus plays a role in transcription, DNA repair of double-stranded breaks, and recombination. Mutations in this gene are responsible for approximately 40% of inherited breast cancers and more than 80% of inherited breast and ovarian cancers. Alternative splicing plays a role in modulating the subcellular localization and physiological function of this gene. Many alternatively spliced transcript variants, some of which are disease-associated mutations, have been described for this gene, but the full-length natures of only some of these variants has been described. A related pseudogene, which is also located on chromosome 17, has been identified. [provided by RefSeq, May 2020].","['BRCT domain', 'Zinc finger, RING-type', 'Breast cancer type 1 susceptibility protein (BRCA1)', 'Zinc finger, RING/FYVE/PHD-type', 'Zinc finger, RING-type, conserved site', 'Zinc finger, C3HC4 RING-type', 'Zinc finger, RING-type, eukaryotic', 'BRCA1-associated', 'BRCT domain superfamily', 'BRCA1, serine-rich domain']"
BRCA2 DNA repair associated,BRCA2,7,"Inherited mutations in BRCA1 and this gene, BRCA2, confer increased lifetime risk of developing breast or ovarian cancer. Both BRCA1 and BRCA2 are involved in maintenance of genome stability, specifically the homologous recombination pathway for double-strand DNA repair. The largest exon in both genes is exon 11, which harbors the most important and frequent mutations in breast cancer patients. The BRCA2 gene was found on chromosome 13q12.3 in human. The BRCA2 protein contains several copies of a 70 aa motif called the BRC motif, and these motifs mediate binding to the RAD51 recombinase which functions in DNA repair. BRCA2 is considered a tumor suppressor gene, as tumors with BRCA2 mutations generally exhibit loss of heterozygosity (LOH) of the wild-type allele. [provided by RefSeq, May 2020].","['BRCA2 repeat', 'Nucleic acid-binding, OB-fold', 'BRCA2, OB1', 'BRCA2, OB3', 'Tower domain', 'Breast cancer type 2 susceptibility protein, helical domain', 'Breast cancer type 2 susceptibility protein', 'BRCA2 helical domain superfamily', 'BRCA2, OB2 domain']"
cyclin D1,CCND1,8,"The protein encoded by this gene belongs to the highly conserved cyclin family, whose members are characterized by a dramatic periodicity in protein abundance throughout the cell cycle. Cyclins function as regulators of CDK kinases. Different cyclins exhibit distinct expression and degradation patterns which contribute to the temporal coordination of each mitotic event. This cyclin forms a complex with and functions as a regulatory subunit of CDK4 or CDK6, whose activity is required for cell cycle G1/S transition. This protein has been shown to interact with tumor suppressor protein Rb and the expression of this gene is regulated positively by Rb. Mutations, amplification and overexpression of this gene, which alters cell cycle progression, are observed frequently in a variety of human cancers. [provided by RefSeq, Dec 2019].","['Cyclin, C-terminal domain', 'Cyclin, N-terminal', 'Cyclin-like domain', 'Cyclin-like superfamily', 'Cyclin', 'Cyclins, cyclin-box']"
cyclin D2,CCND2,9,"The protein encoded by this gene belongs to the highly conserved cyclin family, whose members are characterized by a dramatic periodicity in protein abundance through the cell cycle. Cyclins function as regulators of CDK kinases. Different cyclins exhibit distinct expression and degradation patterns which contribute to the temporal coordination of each mitotic event. This cyclin forms a complex with CDK4 or CDK6 and functions as a regulatory subunit of the complex, whose activity is required for cell cycle G1/S transition. This protein has been shown to interact with and be involved in the phosphorylation of tumor suppressor protein Rb. Knockout studies of the homologous gene in mouse suggest the essential roles of this gene in ovarian granulosa and germ cell proliferation. High level expression of this gene was observed in ovarian and testicular tumors. Mutations in this gene are associated with megalencephaly-polymicrogyria-polydactyly-hydrocephalus syndrome 3 (MPPH3). [provided by RefSeq, Sep 2014].","['Cyclin, C-terminal domain', 'Cyclin, N-terminal', 'Cyclin-like domain', 'Cyclin-like superfamily', 'Cyclin', 'Cyclins, cyclin-box']"
cyclin D3,CCND3,10,"The protein encoded by this gene belongs to the highly conserved cyclin family, whose members are characterized by a dramatic periodicity in protein abundance through the cell cycle. Cyclins function as regulators of CDK kinases. Different cyclins exhibit distinct expression and degradation patterns which contribute to the temporal coordination of each mitotic event. This cyclin forms a complex with and functions as a regulatory subunit of CDK4 or CDK6, whose activtiy is required for cell cycle G1/S transition. This protein has been shown to interact with and be involved in the phosphorylation of tumor suppressor protein Rb. The CDK4 activity associated with this cyclin was reported to be necessary for cell cycle progression through G2 phase into mitosis after UV radiation. Several transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Oct 2008].","['Cyclin, N-terminal', 'Cyclin-like superfamily', 'Cyclin', 'Cyclin, C-terminal domain', 'Cyclin-like domain', 'Cyclins, cyclin-box']"
